date,open,high,low,close,volume,ticker
2022-06-01,50.26,51.54,49.90,50.67,5584400,DELL 
2022-06-02,50.00,51.34,49.93,51.28,3747400,DELL 
2022-06-03,50.96,51.75,50.68,51.02,2721800,DELL 
2022-06-06,51.11,51.29,49.94,50.04,2722900,DELL 
2022-06-07,49.76,51.26,49.37,51.15,2451900,DELL 
2022-06-08,51.18,51.30,50.33,50.33,2511100,DELL 
2022-06-09,50.20,51.40,50.00,50.35,3142800,DELL 
2022-06-10,49.60,50.30,49.03,49.16,2544600,DELL 
2022-06-13,47.84,48.37,47.08,47.25,2612700,DELL 
2022-06-14,47.60,47.93,47.02,47.35,2352400,DELL 
2022-06-15,47.76,48.58,47.13,47.91,2515300,DELL 
2022-06-16,46.89,47.09,45.40,45.89,2830700,DELL 
2022-06-17,46.59,47.93,46.34,47.59,5094900,DELL 
2022-06-21,48.83,49.45,48.33,49.23,5271400,DELL 
2022-06-22,48.67,49.77,48.41,48.61,3735800,DELL 
2022-06-23,48.62,49.57,48.32,49.04,3014000,DELL 
2022-06-24,49.30,50.70,49.05,50.25,9204000,DELL 
2022-06-27,50.36,50.47,49.91,50.24,3329700,DELL 
2022-06-28,50.37,50.65,48.88,48.94,3149800,DELL 
2022-06-29,48.99,49.03,47.25,47.39,3346400,DELL 
2022-06-30,46.66,47.29,45.91,46.21,3976900,DELL 
2022-06-01,179.15,179.83,175.90,177.71,5175400,JNJ 
2022-06-02,177.74,177.81,174.59,177.15,8666500,JNJ 
2022-06-03,177.07,178.67,176.15,176.42,4234200,JNJ 
2022-06-06,177.21,178.50,176.00,176.40,5386500,JNJ 
2022-06-07,176.98,179.30,176.40,178.34,5447800,JNJ 
2022-06-08,178.10,179.45,176.80,177.28,4333100,JNJ 
2022-06-09,177.21,178.65,173.64,173.71,5509600,JNJ 
2022-06-10,172.17,173.97,170.62,172.55,6647300,JNJ 
2022-06-13,170.08,172.25,170.08,170.81,7997000,JNJ 
2022-06-14,171.06,171.11,167.26,168.19,7116800,JNJ 
2022-06-15,169.64,171.44,168.64,169.99,7796100,JNJ 
2022-06-16,168.40,170.21,167.41,170.08,7056700,JNJ 
2022-06-17,170.63,172.20,169.24,169.46,12486600,JNJ 
2022-06-21,170.75,173.86,169.56,173.01,8219700,JNJ 
2022-06-22,172.00,177.92,171.69,175.74,10593100,JNJ 
2022-06-23,177.00,179.82,176.52,179.66,10223500,JNJ 
2022-06-24,180.78,182.53,179.98,182.29,9374400,JNJ 
2022-06-27,181.64,183.35,181.50,182.12,5908600,JNJ 
2022-06-28,182.17,182.97,176.31,176.94,9245700,JNJ 
2022-06-29,177.22,178.30,176.43,176.99,7097900,JNJ 
2022-06-30,176.86,178.29,175.03,177.51,10777200,JNJ 
